x,y,name,confidence
1939.237,12.875,vegetative,0.9027
1121.609,55.859,vegetative,0.9956
1538.332,67.944,complete,0.9599
1870.434,71.921,vegetative,0.9570
1809.192,73.404,vegetative,0.7003
1047.082,94.036,complete,0.8555
1511.357,104.357,vegetative,0.5680
1013.203,122.786,vegetative,0.9947
89.532,133.050,vegetative,0.9956
1254.090,186.599,complete,0.9447
1792.254,194.422,stage5,0.8203
1915.601,213.329,vegetative,0.8453
1913.687,235.960,vegetative,0.9101
1874.167,246.110,complete,0.9867
1869.605,270.906,stage5,0.9943
643.891,276.076,stage5,0.6415
632.582,294.481,complete,0.9658
858.504,298.868,complete,0.8908
1806.946,305.000,vegetative,0.8168
10.435,348.855,stage5,0.9688
1924.953,357.351,vegetative,0.9935
1396.784,358.082,complete,0.9369
958.711,387.182,stage5,0.9966
686.265,408.143,stage5,0.3929
688.549,414.984,complete,0.5140
151.703,444.132,stage5,0.9833
1537.692,504.740,vegetative,0.9946
1433.064,568.038,stage5,0.9920
1290.551,644.889,complete,0.6922
398.453,663.392,vegetative,0.6034
431.905,677.677,stage4,0.6321
277.409,714.405,stage4,0.9717
474.589,754.288,stage4,0.9739
1179.982,770.451,vegetative,0.9921
110.883,784.364,stage4,0.9848
1410.168,822.986,stage5,0.9959
251.077,880.647,stage4,0.9472
1741.030,897.980,complete,0.9044
1338.940,957.132,complete,0.9749
1203.219,996.164,vegetative,0.9764
1781.779,996.573,stage5,0.9953
1984.082,996.788,vegetative,0.9631
1824.813,1007.065,complete,0.8320
1849.522,1016.093,vegetative,0.9751
1934.004,1025.794,complete,0.8476
1063.840,1079.000,vegetative,0.9085
