x,y,name,confidence
282.618,3.771,stage4,0.9762
1536.832,22.276,complete,0.9945
1023.264,153.492,stage4,0.9166
635.550,163.124,stage4,0.9851
954.452,366.145,vegetative,0.9540
276.841,423.159,stage4,0.6736
284.481,429.833,vegetative,0.7314
1075.879,481.119,vegetative,0.9734
1676.000,487.500,vegetative,0.7149
629.589,509.357,vegetative,0.7862
1678.496,531.863,vegetative,0.9907
1996.319,559.642,vegetative,0.9714
1269.471,569.392,vegetative,0.6219
2106.299,702.942,vegetative,0.9936
1590.076,716.423,vegetative,0.9298
1560.728,748.658,vegetative,0.9940
2057.032,787.935,complete,0.6558
2041.017,792.879,stage5,0.7646
2023.132,793.155,complete,0.6824
2024.929,802.929,complete,0.5393
628.750,941.795,vegetative,0.7398
194.832,988.855,vegetative,0.9870
850.843,990.630,vegetative,0.8378
645.056,1032.378,vegetative,0.9207
121.023,1032.414,vegetative,0.9931
