x,y,name,confidence
280.696,1.348,vegetative,0.6527
425.000,2.095,vegetative,0.5285
576.500,2.214,vegetative,0.6553
815.513,2.438,vegetative,0.7833
173.273,2.909,complete,0.3174
1627.301,3.690,complete,0.7949
1070.701,4.331,vegetative,0.7683
448.503,5.254,vegetative,0.5209
13.491,7.887,stage2,0.3058
402.106,8.604,vegetative,0.5740
163.807,11.045,complete,0.3623
828.086,11.833,complete,0.9574
170.744,12.769,vegetative,0.3249
699.143,13.574,vegetative,0.8766
410.556,14.278,stage5,0.3498
742.840,15.574,complete,0.8905
1671.966,15.604,vegetative,0.8541
489.725,17.398,vegetative,0.8411
763.823,18.155,vegetative,0.8994
1855.455,18.586,vegetative,0.9192
439.384,22.237,vegetative,0.9491
396.061,23.188,stage5,0.9308
587.706,25.859,vegetative,0.8524
524.188,27.555,vegetative,0.7992
1298.117,27.643,complete,0.9820
823.734,31.518,vegetative,0.8570
1445.341,35.626,vegetative,0.8591
1783.592,38.685,vegetative,0.8475
722.364,39.455,complete,0.3247
151.969,42.388,vegetative,0.8842
3.524,42.793,vegetative,0.4482
441.826,45.523,vegetative,0.7542
543.309,48.531,stage5,0.4659
1707.494,49.798,vegetative,0.8498
379.771,51.383,vegetative,0.9298
24.455,51.819,vegetative,0.8869
566.056,53.500,vegetative,0.5971
768.720,54.350,vegetative,0.9278
1036.211,55.421,vegetative,0.9474
748.327,56.165,stage5,0.9763
549.812,57.369,complete,0.6872
726.997,59.046,vegetative,0.8142
1564.137,61.791,stage5,0.9843
1644.314,63.859,vegetative,0.9177
621.595,69.723,complete,0.7514
1223.812,69.951,vegetative,0.9174
472.333,71.143,complete,0.4146
350.477,72.451,vegetative,0.8179
1842.481,72.615,complete,0.8933
1903.845,73.106,vegetative,0.8971
665.933,73.746,complete,0.9377
1354.687,74.070,vegetative,0.9258
2117.838,76.211,stage5,0.7407
1126.488,76.690,stage5,0.9838
564.321,78.104,vegetative,0.7828
697.521,81.111,vegetative,0.8842
1519.965,86.118,vegetative,0.9206
648.000,86.417,vegetative,0.6413
502.229,87.165,vegetative,0.8880
2125.421,88.764,complete,0.8187
1327.336,94.715,stage5,0.9815
279.045,95.511,vegetative,0.9034
358.447,96.939,vegetative,0.8651
1153.850,96.967,vegetative,0.9449
840.522,102.518,vegetative,0.8904
1897.013,104.907,stage5,0.4064
2084.793,113.314,vegetative,0.9289
779.405,114.973,vegetative,0.9619
1840.916,120.319,vegetative,0.9267
673.717,122.011,vegetative,0.9686
1736.042,123.201,vegetative,0.9193
1923.419,129.318,vegetative,0.8872
1256.857,129.892,vegetative,0.9490
127.899,131.431,vegetative,0.8869
134.429,134.560,stage5,0.6299
2050.293,136.378,vegetative,0.9381
299.534,136.571,complete,0.8190
462.028,136.694,complete,0.9313
416.009,141.226,vegetative,0.8731
1901.863,143.521,complete,0.9762
1311.684,150.563,complete,0.8943
1058.709,152.995,complete,0.9178
1932.782,153.882,vegetative,0.6249
1820.163,161.909,vegetative,0.8691
623.218,163.193,vegetative,0.8901
894.600,167.436,vegetative,0.9103
2056.736,168.695,vegetative,0.8659
444.599,169.042,vegetative,0.9332
810.114,171.882,vegetative,0.9228
1234.660,172.353,stage5,0.9525
646.678,175.580,stage5,0.8997
1191.066,178.226,vegetative,0.9135
2046.375,181.340,vegetative,0.5344
1631.982,183.251,vegetative,0.7419
2065.460,184.645,stage5,0.6586
1478.143,186.408,vegetative,0.6111
991.828,188.414,vegetative,0.6151
830.737,193.026,complete,0.9337
1489.737,197.316,vegetative,0.6924
2040.054,198.430,vegetative,0.8817
622.312,198.553,complete,0.9408
979.064,198.881,complete,0.9855
1633.991,199.868,stage5,0.4866
1223.876,201.690,complete,0.5529
295.179,202.643,complete,0.4792
288.107,205.480,vegetative,0.5410
1186.569,206.832,complete,0.8035
290.750,208.000,complete,0.4959
559.086,209.315,complete,0.7859
226.807,210.810,vegetative,0.8356
1858.585,212.887,vegetative,0.6612
1571.233,214.094,vegetative,0.7301
631.758,214.503,vegetative,0.9791
1001.937,217.475,vegetative,0.8426
704.482,218.772,vegetative,0.8679
1161.029,221.335,complete,0.8738
315.735,222.953,vegetative,0.9075
1539.894,223.221,vegetative,0.7188
788.145,224.318,vegetative,0.9309
856.163,228.967,vegetative,0.8927
238.550,231.975,stage5,0.4557
1872.992,238.893,vegetative,0.8558
1541.196,238.909,vegetative,0.8455
1736.000,239.125,vegetative,0.5122
962.062,243.938,vegetative,0.4598
1158.591,244.618,vegetative,0.9151
1733.741,245.615,vegetative,0.7835
722.659,245.691,stage5,0.7289
881.292,248.811,complete,0.5678
2002.501,249.661,stage5,0.8642
2106.293,250.323,vegetative,0.7018
400.917,252.395,vegetative,0.9193
225.741,254.984,vegetative,0.7357
1902.563,255.009,vegetative,0.8657
1241.364,256.818,vegetative,0.5328
1411.288,259.239,vegetative,0.8633
746.390,260.421,vegetative,0.9089
969.101,260.662,complete,0.7305
562.237,260.829,vegetative,0.9491
1866.228,262.801,vegetative,0.8371
1002.557,263.871,vegetative,0.9266
1209.750,264.154,vegetative,0.7222
603.600,272.759,vegetative,0.9395
1609.260,277.313,vegetative,0.9315
1982.202,279.739,vegetative,0.8939
