x,y,name,confidence
354.648,1.130,vegetative,0.8671
1486.861,1.972,vegetative,0.7523
728.015,3.926,vegetative,0.9533
937.667,3.944,complete,0.5396
1829.819,6.434,complete,0.9700
223.512,6.899,vegetative,0.9763
1713.508,8.434,vegetative,0.9013
1168.033,9.967,vegetative,0.9800
1493.353,14.643,vegetative,0.9079
1116.504,17.106,vegetative,0.9807
909.816,22.260,vegetative,0.9571
1243.807,24.792,vegetative,0.9772
1099.468,34.327,complete,0.8444
76.512,36.112,vegetative,0.9849
1327.052,36.228,vegetative,0.9786
1227.857,51.238,vegetative,0.5314
1246.737,53.828,complete,0.8868
827.734,56.931,stage5,0.9012
1721.726,59.130,vegetative,0.9886
1037.072,59.835,complete,0.9851
341.545,63.294,vegetative,0.9883
855.294,67.339,vegetative,0.9767
2042.673,81.709,vegetative,0.9419
478.708,85.863,vegetative,0.9709
1030.140,87.621,complete,0.9839
1075.914,89.592,vegetative,0.9840
1521.068,90.142,vegetative,0.9851
1493.793,94.363,complete,0.9731
1280.498,99.906,vegetative,0.9611
2059.056,107.667,complete,0.4968
2047.083,108.167,complete,0.5048
141.133,108.589,vegetative,0.9866
883.245,112.269,vegetative,0.9714
2081.108,112.900,complete,0.7189
658.493,134.591,vegetative,0.9909
754.000,138.639,complete,0.9905
1140.482,142.819,vegetative,0.9905
1741.301,151.948,vegetative,0.9798
583.277,154.224,vegetative,0.9902
297.076,160.179,vegetative,0.9869
347.746,169.864,vegetative,0.9758
192.375,170.958,vegetative,0.9848
911.935,182.632,vegetative,0.9890
1642.577,185.925,vegetative,0.9836
524.207,188.917,stage2,0.5353
1425.801,189.542,vegetative,0.9878
492.708,195.021,complete,0.4130
534.029,197.618,vegetative,0.8484
509.197,201.379,vegetative,0.3726
495.023,204.003,stage5,0.5846
1167.410,206.062,vegetative,0.9864
2049.984,209.524,vegetative,0.9895
1313.476,213.421,vegetative,0.9807
799.629,218.634,vegetative,0.9884
1992.994,222.046,vegetative,0.8946
388.201,222.869,vegetative,0.9876
1761.013,224.302,vegetative,0.9850
182.054,238.674,stage5,0.9141
1412.163,240.081,stage5,0.9740
209.830,240.500,stage2,0.6290
1783.529,246.856,stage5,0.8068
1801.447,259.845,complete,0.7750
1308.725,261.636,complete,0.9883
1698.139,262.383,vegetative,0.9877
926.613,268.685,vegetative,0.9884
1897.945,274.694,vegetative,0.9285
1161.189,276.219,vegetative,0.9861
366.794,277.482,complete,0.9863
173.598,279.683,vegetative,0.9828
114.008,283.253,stage5,0.9308
1578.747,283.913,vegetative,0.9816
2116.053,284.701,vegetative,0.9722
1890.731,286.043,complete,0.5297
500.710,293.189,vegetative,0.9892
111.024,298.973,vegetative,0.9806
382.461,304.454,vegetative,0.9863
1415.897,308.303,complete,0.8447
1808.770,309.343,vegetative,0.9890
1919.825,315.815,stage5,0.9385
1967.164,325.460,vegetative,0.9780
214.711,329.370,vegetative,0.9684
819.759,329.703,vegetative,0.9913
1160.866,334.521,vegetative,0.9349
463.510,338.024,vegetative,0.9880
1050.112,342.281,complete,0.9879
1706.830,344.483,vegetative,0.9786
585.600,350.531,vegetative,0.9876
1015.535,356.078,vegetative,0.9903
1417.620,357.710,vegetative,0.9743
132.400,360.587,vegetative,0.9872
2060.174,362.740,vegetative,0.9894
1250.993,364.035,vegetative,0.9857
501.929,364.756,vegetative,0.9891
726.802,368.324,vegetative,0.9906
88.222,372.251,vegetative,0.9873
540.507,378.284,vegetative,0.9809
1829.772,385.752,vegetative,0.9867
1723.205,387.234,stage5,0.9778
1583.966,391.311,vegetative,0.9872
2029.004,397.163,vegetative,0.9887
1683.701,406.119,vegetative,0.9408
445.024,413.626,vegetative,0.9832
2130.940,419.661,vegetative,0.9173
845.759,421.626,vegetative,0.9871
1761.704,424.634,vegetative,0.9446
1450.737,433.911,vegetative,0.9826
1775.944,434.778,stage2,0.3388
660.884,441.895,complete,0.8817
1516.890,443.861,vegetative,0.8412
1155.141,450.152,vegetative,0.9851
646.366,454.174,vegetative,0.9114
731.934,456.472,stage2,0.6328
1729.116,460.127,vegetative,0.9817
1604.327,462.301,vegetative,0.9653
767.888,462.344,stage5,0.8831
1754.774,462.596,stage5,0.9462
1310.840,464.436,vegetative,0.9872
247.798,470.812,vegetative,0.9768
1941.021,474.454,vegetative,0.9645
825.611,475.722,vegetative,0.3244
1921.798,478.214,complete,0.7686
832.079,478.589,stage2,0.3761
2103.979,478.641,vegetative,0.9901
819.312,481.062,stage5,0.3306
1088.948,483.467,vegetative,0.9887
866.520,485.985,stage5,0.9055
1861.769,486.945,vegetative,0.7782
1239.796,493.620,complete,0.7202
822.830,496.759,vegetative,0.9567
1611.078,496.831,stage5,0.9480
1211.061,497.324,vegetative,0.6567
1293.936,504.013,complete,0.9899
1159.098,505.861,complete,0.8337
1890.775,506.369,complete,0.7292
1551.123,507.491,vegetative,0.9858
1475.878,514.104,vegetative,0.9834
557.505,515.069,vegetative,0.9910
1612.176,516.681,vegetative,0.9684
43.726,517.546,stage5,0.9616
826.161,519.554,vegetative,0.6363
1877.006,520.639,stage5,0.7810
654.988,524.702,vegetative,0.9731
20.597,528.765,vegetative,0.9845
381.378,529.770,vegetative,0.9876
983.091,538.545,stage2,0.5028
1901.554,538.824,stage2,0.5586
1997.648,538.914,complete,0.8081
1104.490,540.748,vegetative,0.9872
951.889,545.349,stage5,0.7551
862.276,546.467,stage5,0.8178
1158.637,546.520,vegetative,0.9562
1176.277,548.571,stage5,0.9535
886.049,551.374,vegetative,0.8589
286.826,552.890,vegetative,0.9898
1335.427,559.755,vegetative,0.9886
1844.866,561.473,vegetative,0.9620
858.292,564.274,vegetative,0.9817
1612.295,564.847,complete,0.8046
1998.303,566.727,complete,0.6198
922.167,569.583,stage2,0.4175
931.545,572.248,complete,0.5766
