x,y,name,confidence
872.000,0.826,stage5,0.5736
853.677,0.871,stage5,0.5291
1088.322,1.661,stage5,0.8733
228.299,7.039,stage5,0.6404
662.502,10.033,vegetative,0.7840
498.029,10.958,vegetative,0.9398
592.685,14.009,vegetative,0.8909
1285.306,16.300,vegetative,0.9714
87.292,18.890,vegetative,0.8720
2037.350,20.008,vegetative,0.9804
1537.832,20.538,complete,0.5092
1566.615,20.828,complete,0.7181
439.358,24.484,vegetative,0.8898
794.385,26.692,vegetative,0.4155
227.757,27.539,vegetative,0.8444
1542.869,34.332,vegetative,0.9181
1923.197,37.466,complete,0.7943
739.522,38.674,vegetative,0.4951
757.785,40.109,complete,0.8408
1471.377,42.264,complete,0.5798
774.349,42.394,vegetative,0.8465
948.168,61.681,vegetative,0.9852
308.859,62.534,vegetative,0.9725
1729.944,63.853,vegetative,0.9209
1388.458,66.010,vegetative,0.9762
681.183,66.383,complete,0.3472
194.864,67.923,vegetative,0.9022
1884.383,68.850,vegetative,0.9809
1717.556,70.333,complete,0.4895
1719.556,71.556,vegetative,0.5097
680.083,71.667,stage4,0.2343
687.694,75.485,vegetative,0.8933
2088.642,75.555,vegetative,0.9774
455.419,76.286,vegetative,0.9785
1721.188,78.125,complete,0.5169
1190.290,82.098,vegetative,0.9822
1264.938,93.481,vegetative,0.9894
892.625,102.883,vegetative,0.9694
1130.166,109.744,vegetative,0.9791
817.527,110.190,vegetative,0.9867
999.977,117.898,vegetative,0.9862
535.815,118.753,vegetative,0.9664
401.030,119.491,vegetative,0.9629
1950.771,123.477,vegetative,0.9787
20.332,126.395,vegetative,0.9653
759.418,127.047,vegetative,0.9215
1275.087,136.124,vegetative,0.9865
841.053,149.919,vegetative,0.9876
184.173,154.385,vegetative,0.9168
593.718,164.525,vegetative,0.9694
1781.058,170.185,vegetative,0.9830
1354.911,174.428,vegetative,0.9869
1205.682,174.537,vegetative,0.9860
1587.055,175.468,vegetative,0.9871
1455.720,175.488,vegetative,0.9901
1642.039,179.278,vegetative,0.9543
883.080,181.832,stage5,0.5209
915.788,181.901,vegetative,0.9413
67.085,189.085,stage5,0.5087
69.567,191.429,vegetative,0.9350
1096.705,194.185,vegetative,0.9862
2003.374,194.321,vegetative,0.9861
333.248,215.730,vegetative,0.9512
1434.829,217.813,vegetative,0.9804
447.251,218.148,vegetative,0.9752
1280.677,221.108,vegetative,0.9791
2119.472,242.697,vegetative,0.9717
710.929,243.143,complete,0.4632
839.538,244.694,complete,0.8822
1872.672,245.287,vegetative,0.9845
829.843,252.155,vegetative,0.9750
667.164,253.087,vegetative,0.9377
1166.726,254.295,vegetative,0.9879
912.542,257.358,vegetative,0.9864
537.473,268.518,vegetative,0.9847
1068.404,268.751,vegetative,0.9845
203.229,273.147,vegetative,0.9595
978.430,280.198,vegetative,0.9877
1213.580,282.989,vegetative,0.9859
486.299,292.869,vegetative,0.9179
135.061,293.297,vegetative,0.9774
1393.708,296.884,vegetative,0.9898
1732.471,297.942,vegetative,0.9869
29.385,298.724,vegetative,0.9320
